Name.1,Age,Hometown,Home country,Boarded,Destination,Lifeboat,Body,pclass
"Abbing, Mr. Anthony",40,"Cincinnati, Ohio",US,Southampton,"Cincinnati, Ohio, US",,,3
"Abbott, Mrs. Rhoda Mary (née Hunt)",39,"East Providence, Rhode Island",US,Southampton,"East Providence, Rhode Island, US",A,,3
"Abbott, Mr. Rossmore Edward",16,"East Providence, Rhode Island",US,Southampton,"East Providence, Rhode Island, US",,190,3
"Abbott, Mr. Eugene Joseph",14,"East Providence, Rhode Island",US,Southampton,"East Providence, Rhode Island, US",,,3
"Abd al-Khaliq, Mr. Farid Qasim Husayn",18,Shana,Lebanon,Cherbourg,New York City,,,3
"Abelseth, Miss Karen Marie",16,Sunnmøre,Norway,Southampton,"Los Angeles, California, US",16,,3
"Abelseth, Mr. Olaus Jørgensen",25,"Perkins County, South Dakota",US,Southampton,"Perkins County, South Dakota, US",A,,3
"Abrahamsson, Mr. Abraham August Johannes",20,Dalsbruk,Finland,Southampton,"Hoboken, New Jersey, US",15,,3
"Abrahim, Mrs. Mary Sophie Halaut (née Easu)",18,Shwayhad,Syria,Cherbourg,"Greensburg, Pennsylvania, US",C,,3
"Adahl, Mr. Mauritz Nils Martin",30,"Asarum, Småland",Sweden,Southampton,"Brooklyn, New York, US",,72,3
"Adams, Mr. John",26,"Bournemouth, Dorset",England,Southampton,"La Porte City, Iowa, US",,103,3
"Ahlin, Mrs. Johanna Persdotter (née Larsson)",40,"Göteborg, Västergötland",Sweden,Southampton,"Akeley, Minnesota, US",,,3
"Aks, Mrs. Leah (née Rosen)",18,London,England,Southampton,"Norfolk, Virginia, US",13,,3
"Aks, Master Frank Philip",10 mo.,London,England,Southampton,"Norfolk, Virginia, US",11,,3
"Al-Muna, Mr. Nasif Qasim",26,"Fredericksburg, Virginia",US,Cherbourg,"Fredericksburg, Virginia, US",15,,3
"Alexander, Mr. William",23,"Great Yarmouth, Norfolk",England,Southampton,"Albion, Michigan, US",,,3
"Alhomäki, Mr. Ilmari Rudolf",19,Salo,Finland,Southampton,"Astoria, Oregon, US",,,3
"Ali, Mr. Ahmed",24,Buenos Aires,Argentina,Southampton,New York City,,,3
"Ali, Mr. William",25,Buenos Aires,Argentina,Southampton,New York City,,79,3
"Allen, Mr. William Henry",35,"Birmingham, West Midlands",England,Southampton,New York City,,,3
"Allum, Mr. Owen George",15,"Southall, London",England,Southampton,New York City,,259,3
"Al-Zainni, Mr. Fahim Ruhanna",22,Toula,Lebanon,Cherbourg,"Dayton, Ohio, US",6,,3
"Andersen, Mr. Albert Karvin",33,Bergen,Norway,Southampton,New York City,,260,3
"Andersen-Jensen, Miss Carla Christine",19,Eskilstrup,Denmark,Southampton,"Portland, Oregon, US",16,,3
"Andersson, Mr. Anders Johan",39,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,,3
"Andersson, Mrs. Alfrida Konstantia (née Brogren)",39,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,,3
"Andersson, Miss Sigrid Elisabeth",11,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,,3
"Andersson, Miss Ingeborg Constanzia",9,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,,3
"Andersson, Miss Ebba Iris Alfrida",6,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,,3
"Andersson, Master Sigvard Harald Elias",4,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,,3
"Andersson, Miss Ellis Anna Maria",2,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,,3
"Andersson, Miss Erna Alexandra",17,Ruotsinpyhtää,Finland,Southampton,New York City,D,,3
"Andersson, Miss Ida Augusta Margareta",38,"Vadsbro, Sörmland",Sweden,Southampton,"Manistee, Michigan, US",,,3
"Andersson, Mr. Johan Samuel",26,"Hartford, Connecticut",US,Southampton,"Hartford, Connecticut, US",,,3
"Andreasson, Mr. Paul Edvin",20,"Kalfsnäs, Småland",Sweden,Southampton,"Chicago, Illinois, US",,,3
"Angheloff, Mr. Minko",26,"Terziysko, Troyan",Bulgaria,Southampton,"Chicago, Illinois, US",,,3
"Arnold-Franchi, Mr. Josef",25,"Altdorf, Uri",Switzerland,Southampton,"New Glarus, Wisconsin, US",,,3
"Arnold-Franchi, Mrs. Josefine (née Franchi)",18,"Altdorf, Uri",Switzerland,Southampton,"New Glarus, Wisconsin, US",,,3
"Aronsson, Mr. Ernst Axel Algot",24,"Horset, Småland",Sweden,Southampton,"Joliet, Illinois, US",,,3
"Asim, Mr. Adola",35,Buenos Aires,Argentina,Southampton,New York City,,,3
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",40,"Alseda, Småland",Sweden,Southampton,"Worcester, Massachusetts, US",,142,3
